[run number],SimplePond,last-day,birth_pulses,ini-tadpoles-per-pondpatch,Bd-inf-tadpoles-per-infpondpatch,inf-ponds,tad-mort,meta-mort,t-movement,m-land,baseline_smax,baseline_spn_clearance,baseline_est,baseline_shedding,v-efficacy,v-coverage,vaccination-day,relative_variation,natural_imm_efficacy,c_smax,c_clear,c_est,c_shedding,[step],count metamorphs,prop_deaths_due_to_bd,avg_spn_inten_metas,median_spn_inten_metas,metas_prev,aggregation_inten_metas,realized-coverage,total-zsp-density
52,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0.182,0,0,90,85,0.442231076,351.5294118,351,1,10.65782176,0.75,498458
53,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0.182,0,0,90,50,0.508650519,357.58,362,1,7.872089134,0.75,556591
54,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0.182,0,0,90,44,0.568681319,368.6818182,377.5,1,8.937658592,0.75,663153
55,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0.182,0,0,90,194,0.114285714,182.9639175,161,1,34.83783106,0.75,272487
56,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0.182,0,0,90,253,0,12.79891304,4,0.806324111,135.9471488,0.75,42173
57,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0.182,0,0,90,227,0.156118143,217.7400881,186,1,40.65425224,0.75,378920
58,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0.182,0,0,90,146,0.428115016,312.9794521,313,1,18.11124601,0.75,587219
59,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0.182,0,0,90,176,0.088050314,184.4318182,164,1,42.65992078,0.75,238961
60,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0.182,0,0,90,218,0.117073171,181.7293578,155.5,1,43.17756679,0.75,315339
61,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0.182,0,0,90,222,0.005586592,58.41441441,38,1,60.35235358,0.75,105897
62,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0.182,0,0,90,178,0.326599327,304.5955056,313.5,1,19.83218991,0.75,545273
63,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0.182,0,0,90,207,0.016042781,99.95169082,72,1,57.97885945,0.75,156171
64,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0.182,0,0,90,223,0.005154639,38.0896861,26,1,57.79392024,0.75,76566
65,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0.182,0,0,90,200,0.113513514,184.41,162,1,42.84936368,0.75,277536
66,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0.182,0,0,90,182,0.326797386,292.1153846,288,1,21.79976722,0.75,551237
67,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0.182,0,0,90,94,0.406940063,337.5744681,347,1,16.50595512,0.75,548101
68,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0.182,0,0,90,209,0.023584906,88.63636364,65,1,47.98605523,0.75,150109
69,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0.182,0,0,90,223,0.201716738,245.4304933,229,1,34.01958885,0.75,431666
70,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0.182,0,0,90,221,0.04,118.1176471,94,1,42.56730351,0.75,188988
71,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0.182,0,0,90,230,0.035532995,99.6173913,74,1,51.76733841,0.75,170157
72,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0.182,0,0,90,171,0.312252964,298.0233918,287,1,21.39097598,0.75,514901
73,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0.182,0,0,90,215,0.019900498,113.9767442,85,1,68.98361197,0.75,169789
74,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0.182,0,0,90,192,0.163865546,236.1822917,228,1,29.80448345,0.75,382928
75,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0.182,0,0,90,200,0.106508876,181.97,159,1,39.22690388,0.75,286649
76,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0.262,0,0,90,217,0.071856287,143.1658986,117,1,50.35552909,0.75,259008
77,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0.262,0,0,90,210,0.20242915,221.9666667,205.5,1,31.87001152,0.75,459889
78,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0.262,0,0,90,71,0.469635628,322.1267606,318,1,14.8854382,0.75,533910
79,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0.262,0,0,90,212,0.113513514,149.5188679,122,1,49.9391054,0.75,268729
80,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0.262,0,0,90,176,0.172413793,218,201,1,30.31381389,0.75,368632
81,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0.262,0,0,90,149,0.348837209,297.4228188,298,1,15.89388861,0.75,574959
82,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0.262,0,0,90,216,0.106280193,178.8009259,167.5,1,36.71986707,0.75,322118
83,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0.262,0,0,90,245,0.072222222,110.8897959,89,1,41.96745388,0.75,228242
84,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0.262,0,0,90,212,0.094527363,128.6981132,108.5,1,35.44444776,0.75,249799
85,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0.262,0,0,90,258,0.085106383,131.0426357,104,1,49.40063654,0.75,259558
86,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0.262,0,0,90,237,0.010638298,43.27848101,24,1,90.61845073,0.75,95348
87,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0.262,0,0,90,203,0.25203252,254,242,1,24.93104389,0.75,536317
88,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0.262,0,0,90,233,0.076142132,124.9012876,98,1,54.62964893,0.75,235521
89,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0.262,0,0,90,114,0.324,301.9736842,299,1,13.13866235,0.75,512007
90,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0.262,0,0,90,237,0.040935673,74.7257384,48,1,64.21522888,0.75,149612
91,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0.262,0,0,90,205,0.086486486,153.3073171,131,1,35.58172898,0.75,276673
92,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0.262,0,0,90,230,0.015706806,89.50869565,68,1,47.08349272,0.75,178537
93,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0.262,0,0,90,208,0.21686747,239.4567308,228,1,32.45207457,0.75,506128
94,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0.262,0,0,90,230,0.08040201,130.426087,111.5,1,40.80151428,0.75,251369
95,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0.262,0,0,90,216,0.162280702,216.7314815,200,1,34.85333964,0.75,399153
96,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0.262,0,0,90,241,0.042553191,124.8755187,100,1,55.5755538,0.75,234006
