[run number],SimplePond,last-day,birth_pulses,ini-tadpoles-per-pondpatch,Bd-inf-tadpoles-per-infpondpatch,inf-ponds,tad-mort,meta-mort,t-movement,m-land,baseline_smax,baseline_spn_clearance,baseline_est,baseline_shedding,v-efficacy,v-coverage,vaccination-day,relative_variation,natural_imm_efficacy,c_smax,c_clear,c_est,c_shedding,[step],count metamorphs,prop_deaths_due_to_bd,avg_spn_inten_metas,median_spn_inten_metas,metas_prev,aggregation_inten_metas,realized-coverage,total-zsp-density
35,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,0,0,-0.223,90,177,0.250922509,250.2316384,238,1,31.74580178,0.1,370786
36,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,0,0,-0.223,90,253,0.01793722,80.76679842,51,1,82.59568514,0.1,126731
37,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,0,0,-0.223,90,196,0.090047393,158.9030612,134,1,46.02196788,0.1,216017
38,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,0,0,-0.223,90,169,0.163461538,242.4023669,232,1,35.99943827,0.1,289741
39,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,0,0,-0.223,90,97,0.424698795,327.8556701,324,1,15.52982582,0.1,463303
40,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,0,0,-0.223,90,185,0.091428571,199.0918919,185,1,35.99046611,0.1,255767
41,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,0,0,-0.223,90,262,0.053921569,107.8816794,76,1,75.63917968,0.1,167407
42,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,0,0,-0.223,90,236,0.056277056,174.4067797,146,1,51.07401857,0.1,254762
43,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,0,0,-0.223,90,225,0.022346369,37.46666667,24,1,54.7527167,0.1,73522
44,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,0,0,-0.223,90,23,0.56779661,377.2608696,390,1,10.92858864,0.1,543492
45,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,0,0,-0.223,90,63,0.537572254,337.1587302,338,1,14.10728339,0.1,505229
46,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,0,0,-0.223,90,185,0.212686567,252.7837838,237,1,32.5296336,0.1,360527
47,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,0,0,-0.223,90,44,0.575,387.8636364,402.5,1,6.553680785,0.1,532461
