[run number],SimplePond,last-day,birth_pulses,ini-tadpoles-per-pondpatch,Bd-inf-tadpoles-per-infpondpatch,inf-ponds,tad-mort,meta-mort,t-movement,m-land,baseline_smax,baseline_spn_clearance,baseline_est,baseline_shedding,v-efficacy,v-coverage,vaccination-day,relative_variation,natural_imm_efficacy,c_smax,c_clear,c_est,c_shedding,[step],count metamorphs,prop_deaths_due_to_bd,avg_spn_inten_metas,median_spn_inten_metas,metas_prev,aggregation_inten_metas,realized-coverage,total-zsp-density
1557,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.7,0,0.1,0,-0.916,0,0,0,90,126,0.372180451,186.0555556,161,1,33.83826336,0.7,233105
1558,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.8,0,0.1,0,-0.916,0,0,0,90,0,0.700280112,0,0,0,0,0.8,357330
1559,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.9,0,0.1,0,-0.916,0,0,0,90,22,0.647727273,255.3636364,247.5,1,39.87387479,0.9,260764
1560,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,1,0,0.1,0,-0.916,0,0,0,90,15,0.572307692,165.5333333,169,1,2.367988033,1,209588
1561,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,-1.204,0,0,0,90,2,0.668949772,432.5,432.5,1,0.50982659,0.1,585798
1562,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.2,0,0.1,0,-1.204,0,0,0,90,3,0.701052632,421.3333333,425,1,1.690664557,0.2,605378
1563,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.3,0,0.1,0,-1.204,0,0,0,90,172,0.303030303,163.005814,135,1,38.71095714,0.3,228491
1564,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.4,0,0.1,0,-1.204,0,0,0,90,4,0.669014085,400.75,397.5,1,7.047411104,0.4,459786
1565,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.5,0,0.1,0,-1.204,0,0,0,90,210,0.157480315,95.81428571,74,1,49.70659305,0.5,154205
1566,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.6,0,0.1,0,-1.204,0,0,0,90,89,0.495207668,223.258427,201,1,33.51309192,0.6,247069
1567,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.7,0,0.1,0,-1.204,0,0,0,90,5,0.722222222,431.2,437,1,2.079545455,0.7,395530
